id_position,CAM,CB,CDM,CF,CM,ID,LAM,LB,LCB,LCM,LDM,LF,LM,LS,LW,LWB,Preferred Positions,RAM,RB,RCB,RCM,RDM,RF,RM,RS,RW,RWB,ST
0,89,53,62,91,82,20801,89,61,53,82,62,91,89,92,91,66,ST LW ,89,61,53,82,62,91,89,92,91,66,92
1,92,45,59,92,84,158023,92,57,45,84,59,92,90,88,91,62,RW ,92,57,45,84,59,92,90,88,91,62,88
2,88,46,59,88,79,190871,88,59,46,79,59,88,87,84,89,64,LW ,88,59,46,79,59,88,87,84,89,64,84
3,87,58,65,88,80,176580,87,64,58,80,65,88,85,88,87,68,ST ,87,64,58,80,65,88,85,88,87,68,88
4,,,,,,167495,,,,,,,,,,,GK ,,,,,,,,,,,
5,84,57,62,87,78,188545,84,58,57,78,62,87,82,88,84,61,ST ,84,58,57,78,62,87,82,88,84,61,88
6,,,,,,193080,,,,,,,,,,,GK ,,,,,,,,,,,
7,88,47,61,87,81,183277,88,59,47,81,61,87,87,82,88,64,LW ,88,59,47,81,61,87,87,82,88,64,82
8,83,72,82,81,87,182521,83,76,72,87,82,81,81,77,80,78,CDM CM ,83,76,72,87,82,81,81,77,80,78,77
9,81,46,52,84,71,167664,81,51,46,71,52,84,79,87,82,55,ST ,81,51,46,71,52,84,79,87,82,55,87
10,70,87,83,70,74,155862,70,84,87,74,83,70,71,72,69,81,CB ,70,84,87,74,83,70,71,72,69,81,72
11,86,57,70,85,84,192985,86,66,57,84,70,85,85,81,85,71,RM CM CAM ,86,66,57,84,70,85,85,81,85,71,81
12,,,,,,192119,,,,,,,,,,,GK ,,,,,,,,,,,
13,85,56,64,85,79,184941,85,62,56,79,64,85,85,83,86,66,RM LW ST LM ,85,62,56,79,64,85,85,83,86,66,83
14,86,72,80,83,86,177003,86,78,72,86,80,83,84,76,83,80,CDM CM ,86,78,72,86,80,83,84,76,83,80,76
15,86,67,71,87,81,173731,86,72,67,81,71,87,87,87,87,74,RW ,86,72,67,81,71,87,87,87,87,74,87
16,85,44,54,87,75,153079,85,52,44,75,54,87,84,86,86,57,ST ,85,52,44,75,54,87,84,86,86,57,86
17,55,86,76,55,60,138956,55,78,86,60,76,55,58,59,56,75,CB ,55,78,86,60,76,55,58,59,56,75,59
18,,,,,,1179,,,,,,,,,,,GK ,,,,,,,,,,,
19,86,43,55,86,78,211110,86,55,43,78,55,86,86,83,87,60,ST CAM ,86,55,43,78,55,86,86,83,87,60,83
20,,,,,,200389,,,,,,,,,,,GK ,,,,,,,,,,,
21,84,48,57,85,76,194765,84,56,48,76,57,85,84,85,86,60,LW RW ST ,84,56,48,76,57,85,84,85,86,60,85
22,86,66,76,83,85,189509,86,72,66,85,76,83,83,77,83,75,CDM CAM CM ,86,72,66,85,76,83,83,77,83,75,77
23,82,52,59,84,74,188567,82,62,52,74,59,84,83,85,84,65,ST ,82,62,52,74,59,84,83,85,84,65,85
24,68,86,83,66,75,184344,68,79,86,75,83,66,66,65,63,76,CB ,68,79,86,75,83,66,66,65,63,76,65
25,67,85,82,66,73,183907,67,81,85,73,82,66,69,65,65,79,CB ,67,81,85,73,82,66,69,65,65,79,65
26,63,86,80,62,69,182493,63,79,86,69,80,62,63,64,61,76,CB ,63,79,86,69,80,62,63,64,61,76,64
27,71,85,83,69,77,178603,71,80,85,77,83,69,70,69,68,78,CB ,71,80,85,77,83,69,70,69,68,78,69
28,85,41,57,82,79,176635,85,52,41,79,57,82,83,76,83,58,RW CAM ,85,52,41,79,57,82,83,76,83,58,76
29,,,,,,167948,,,,,,,,,,,GK ,,,,,,,,,,,
30,72,85,83,69,77,164240,72,81,85,77,83,69,70,67,68,79,CB ,72,81,85,77,83,69,70,67,68,79,67
31,83,52,60,83,78,41236,83,54,52,78,60,83,80,84,82,58,ST ,83,54,52,78,60,83,80,84,82,58,84
32,86,47,59,86,78,9014,86,58,47,78,59,86,85,82,87,63,RW RM ,86,58,47,78,59,86,85,82,87,63,82
33,78,81,84,76,81,215914,78,82,81,81,84,76,78,72,76,83,CM CDM ,78,82,81,81,84,76,78,72,76,83,72
34,82,77,84,77,85,199556,82,79,77,85,84,77,80,69,78,80,CDM CM ,82,79,77,85,84,77,80,69,78,80,69
35,84,74,79,83,84,195864,84,75,74,84,79,83,83,81,82,77,CDM CM ,84,75,74,84,79,83,83,81,82,77,81
36,85,53,68,82,83,190460,85,64,53,83,68,82,84,77,83,69,LM RM CAM ,85,64,53,83,68,82,84,77,83,69,77
37,81,84,85,81,83,181872,81,83,84,83,85,81,80,81,80,83,CM CDM ,81,83,84,83,85,81,80,81,80,83,81
38,80,58,62,82,74,179813,80,61,58,74,62,82,79,84,80,64,ST ,80,61,58,74,62,82,79,84,80,64,84
39,79,82,82,79,80,176676,79,84,82,80,82,79,81,77,80,84,LB ,79,84,82,80,82,79,81,77,80,84,77
40,85,71,77,84,85,171877,85,75,71,85,77,84,83,81,83,77,CM ,85,75,71,85,77,84,83,81,83,77,81
41,83,64,74,82,84,168651,83,69,64,84,74,82,82,78,81,72,CM ,83,69,64,84,74,82,82,78,81,72,78
42,84,50,64,81,81,168542,84,59,50,81,64,81,82,75,82,65,LM CM CAM ,84,59,50,81,64,81,82,75,82,65,75
43,,,,,,162835,,,,,,,,,,,GK ,,,,,,,,,,,
44,68,84,81,68,74,152729,68,78,84,74,81,68,68,69,66,76,CB ,68,78,84,74,81,68,68,69,66,76,69
45,87,63,74,83,84,41,87,69,63,84,74,83,84,76,84,72,LM CM ,87,69,63,84,74,83,84,76,84,72,76
46,79,57,62,82,74,202126,79,60,57,74,62,82,78,84,79,62,ST ,79,60,57,74,62,82,78,84,79,62,84
47,83,53,64,83,79,198710,83,61,53,79,64,83,82,80,83,65,RM CM CAM ,83,61,53,79,64,83,82,80,83,65,80
